"top-left-square","top-middle-square","top-right-square","middle-left-square","middle-middle-square","middle-right-square","bottom-left-square","bottom-middle-square","bottom-right-square","Class"
1,1,1,1,0,0,1,0,0,1
1,1,1,1,0,0,0,1,0,1
1,1,1,1,0,0,0,0,1,1
1,1,1,1,0,0,0,.5,.5,1
1,1,1,1,0,0,.5,0,.5,1
1,1,1,1,0,0,.5,.5,0,1
1,1,1,1,0,.5,0,0,.5,1
1,1,1,1,0,.5,0,.5,0,1
1,1,1,1,0,.5,.5,0,0,1
1,1,1,1,.5,0,0,0,.5,1
1,1,1,1,.5,0,0,.5,0,1
1,1,1,1,.5,0,.5,0,0,1
1,1,1,0,1,0,1,0,0,1
1,1,1,0,1,0,0,1,0,1
1,1,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,.5,.5,1
1,1,1,0,1,0,.5,0,.5,1
1,1,1,0,1,0,.5,.5,0,1
1,1,1,0,1,.5,0,0,.5,1
1,1,1,0,1,.5,0,.5,0,1
1,1,1,0,1,.5,.5,0,0,1
1,1,1,0,0,1,1,0,0,1
1,1,1,0,0,1,0,1,0,1
1,1,1,0,0,1,0,0,1,1
1,1,1,0,0,1,0,.5,.5,1
1,1,1,0,0,1,.5,0,.5,1
1,1,1,0,0,1,.5,.5,0,1
1,1,1,0,0,.5,1,0,.5,1
1,1,1,0,0,.5,1,.5,0,1
1,1,1,0,0,.5,0,1,.5,1
1,1,1,0,0,.5,0,.5,1,1
1,1,1,0,0,.5,.5,1,0,1
1,1,1,0,0,.5,.5,0,1,1
1,1,1,0,0,.5,.5,.5,.5,1
1,1,1,0,.5,1,0,0,.5,1
1,1,1,0,.5,1,0,.5,0,1
1,1,1,0,.5,1,.5,0,0,1
1,1,1,0,.5,0,1,0,.5,1
1,1,1,0,.5,0,1,.5,0,1
1,1,1,0,.5,0,0,1,.5,1
1,1,1,0,.5,0,0,.5,1,1
1,1,1,0,.5,0,.5,1,0,1
1,1,1,0,.5,0,.5,0,1,1
1,1,1,0,.5,0,.5,.5,.5,1
1,1,1,0,.5,.5,1,0,0,1
1,1,1,0,.5,.5,0,1,0,1
1,1,1,0,.5,.5,0,0,1,1
1,1,1,0,.5,.5,0,.5,.5,1
1,1,1,0,.5,.5,.5,0,.5,1
1,1,1,0,.5,.5,.5,.5,0,1
1,1,1,.5,1,0,0,0,.5,1
1,1,1,.5,1,0,0,.5,0,1
1,1,1,.5,1,0,.5,0,0,1
1,1,1,.5,0,1,0,0,.5,1
1,1,1,.5,0,1,0,.5,0,1
1,1,1,.5,0,1,.5,0,0,1
1,1,1,.5,0,0,1,0,.5,1
1,1,1,.5,0,0,1,.5,0,1
1,1,1,.5,0,0,0,1,.5,1
1,1,1,.5,0,0,0,.5,1,1
1,1,1,.5,0,0,.5,1,0,1
1,1,1,.5,0,0,.5,0,1,1
1,1,1,.5,0,0,.5,.5,.5,1
1,1,1,.5,0,.5,1,0,0,1
1,1,1,.5,0,.5,0,1,0,1
1,1,1,.5,0,.5,0,0,1,1
1,1,1,.5,0,.5,0,.5,.5,1
1,1,1,.5,0,.5,.5,0,.5,1
1,1,1,.5,0,.5,.5,.5,0,1
1,1,1,.5,.5,0,1,0,0,1
1,1,1,.5,.5,0,0,1,0,1
1,1,1,.5,.5,0,0,0,1,1
1,1,1,.5,.5,0,0,.5,.5,1
1,1,1,.5,.5,0,.5,0,.5,1
1,1,1,.5,.5,0,.5,.5,0,1
1,1,1,.5,.5,.5,0,0,.5,1
1,1,1,.5,.5,.5,0,.5,0,1
1,1,1,.5,.5,.5,.5,0,0,1
1,1,0,1,1,0,0,0,1,1
1,1,0,1,0,1,1,0,0,1
1,1,0,1,0,0,1,0,1,1
1,1,0,1,0,0,1,.5,.5,1
1,1,0,1,0,.5,1,0,.5,1
1,1,0,1,0,.5,1,.5,0,1
1,1,0,1,.5,0,1,0,.5,1
1,1,0,1,.5,.5,1,0,0,1
1,1,0,0,1,1,0,1,0,1
1,1,0,0,1,1,0,0,1,1
1,1,0,0,1,0,1,0,1,1
1,1,0,0,1,0,0,1,1,1
1,1,0,0,1,0,.5,1,.5,1
1,1,0,0,1,0,.5,.5,1,1
1,1,0,0,1,.5,0,1,.5,1
1,1,0,0,1,.5,0,.5,1,1
1,1,0,0,1,.5,.5,1,0,1
1,1,0,0,1,.5,.5,0,1,1
1,1,0,.5,1,0,0,1,.5,1
1,1,0,.5,1,0,0,.5,1,1
1,1,0,.5,1,0,.5,0,1,1
1,1,0,.5,1,.5,0,1,0,1
1,1,0,.5,1,.5,0,0,1,1
1,1,.5,1,0,0,1,0,.5,1
1,1,.5,1,0,0,1,.5,0,1
1,1,.5,1,0,.5,1,0,0,1
1,1,.5,1,.5,0,1,0,0,1
1,1,.5,0,1,0,0,1,.5,1
1,1,.5,0,1,0,0,.5,1,1
1,1,.5,0,1,0,.5,1,0,1
